Domain,Admin_Name,Admin_Email,Admin_Phone,Tech_Name,Tech_Email,Tech_Phone
creditagricole.ma,M.Ismail JOUKAI,Dns.admin@creditagricole.ma,+212.537217205,Lachhab Anass,Dns.admin@creditagricole.ma,
bcp.ma,dar atta,daratta@menara.ma,+212.537533000,dar atta,daratta@menara.ma,
attijariwafabank.ma,najem tarik bcm,t.najem@bcm.co.ma,+212.537533000,najem tarik bcm,t.najem@bcm.co.ma,
ona.ma,mcharqui mcharqui,contact.admin@inwi.ma,+212.529000000,Direction Dev. Services Wana Corporate,contact.technicns@inwi.ma,
orange.ma,Admin-NS,adminns.oma@orange.com,+212.665551000,DOCSD,technicalns.oma@orange.com,
maroctelecom.ma,iam iam,admindns@menara.ma,+212.537533000,iam iam,admindns@menara.ma,
agma.ma,Mohammed Rachid Mouradi,r.mouradi@agma.co.ma,+600.016762,Mohammed Rachid Mouradi,r.mouradi@agma.co.ma,
cnss.ma,Abderrahim El Hazibi,abderrahim.elhazibi@cnss.ma,+212.522547070,Abderrahim El Hazibi,abderrahim.elhazibi@cnss.ma,
anp.ma,Mr Abdessalam El Khimari,a_elkhimari@anp.org.ma,+212.620694381,Mr Abdessalam El Khimari,a_elkhimari@anp.org.ma,
lafargeholcim.ma,Stanzick Karl MTDS,hostmaster@mtds.com,+212.537278800,Silvia Huber,dns-hgrs@holcim.com,
